A,Person,4321 Another Street,Anothertown,TX,78742-,(555) 555-1212,aperson@yahoo.com
Eleanor,Rigby,714 Lonely Lane,Atown,TX,54327,(254) 151-1465,eleanor@some.net
Later on,Entry,11 Later Drive,Latertown,TX,55555-,(313) 369-1357,later@later.com
Nowhere,Man,1334 Street,Nowhere,TX,34956,(512) 956-3442,man@yahoo.net
This,Person,171 This Avenue,Thistown,TX,17685,(512) 171-7685,thisperson@that.net
Me,Again,511 This Street,ThisTown,TX,54321,(254) 151-5641,again@some.net
Mac,Daknife,1152 Darrin Ave,New York,NY,20231,(214) 222-6482,mac@gmail.net
An,Edit,77 Sunset Strip,Los Angeles,CA,77477,(214) 771-7171,edit@sunset.com
Maggie,May,4321 Piccadilly,London,GB,78742,(555) 555-1212,mae@england.com
Anew,Person,1237 Anew Lane,Newtown,TX,46852,(512) 468-2624,anew@anew.net
Jackie,Blue, 8203 Mountain View,Ozark,AR,56287,(452) 785-3245,jackie@daredevil.com
Mary,Jane,8725 Last Dance Rd,Jacksonville,FL,34312,(236) 497-5264,maryjane@petty.com
Pam,Polythene,1656 Abbey Road,London,GB,78742,(568) 125-1232,pam@england.com
Some,Guy,1234 Somestreet,Sometown,TX,77777,(512) 878-8788,someguy@some.com
Bobbie,McGee,22 Beach Street,Galveston,TX,79746,(463) 751-3217,bobbie@isp.net
Last,Person,123 Last Way Rd,Lastcity,TX,43761,(361) 959-7368,last@later.com
Another,Person,1221 Some Avenue,Atown,TX,54545,545-545-6565,another@isp.net
Number,Nineteens,19th Avenue ,Town,TX,19191,191-191-1919,nineteen@isp.tv
